mode,policy,episode,steps,collision,arrived,near_miss,min_distance,reward
perfect_v2v,hold,106,58,1,0,1,4.2752639512221196,-129.00480880716353
perfect_v2v,hold,107,61,1,0,1,4.339795184767751,-216.59548110347527
perfect_v2v,hold,108,94,0,1,0,9.93684518012093,-46.86125623996274
perfect_v2v,hold,109,103,0,1,0,9.665231020284326,-59.046522529952895
perfect_v2v,hold,110,58,1,0,1,3.698920771303622,-214.5142781111807
perfect_v2v,hold,111,118,0,1,1,6.248869831471508,-83.34646918833195
perfect_v2v,hold,112,120,0,1,0,17.00377754366657,-61.38365240784701
perfect_v2v,hold,113,122,0,1,0,12.686916079153137,-69.42467215724854
perfect_v2v,hold,114,62,1,0,1,3.9017867453813886,-131.0899162088157
perfect_v2v,hold,115,98,0,1,1,5.421423224729802,-62.945994277292
perfect_v2v,hold,116,117,0,1,0,14.496953430886814,-65.32801634290907
perfect_v2v,hold,117,93,0,1,1,7.7703297401071305,19.65360346216579
perfect_v2v,hold,118,92,0,1,0,11.904592780308873,-40.820983175484855
perfect_v2v,hold,119,56,1,0,1,3.614428120544197,-210.49170168971008
perfect_v2v,hold,120,61,1,0,1,3.9989985071734844,-130.0560816206191
perfect_v2v,hold,121,66,1,0,1,4.219677648360441,-132.1483743117655
perfect_v2v,hold,122,60,1,0,1,3.814652743393003,-130.05217343346334
perfect_v2v,hold,123,61,1,0,1,3.8347281913610702,-220.58898844225638
perfect_v2v,hold,124,58,1,0,1,4.135139162769351,-214.54076983199923
perfect_v2v,hold,125,57,1,0,1,3.7630064913924146,-210.51936649253867
perfect_v2v,hold,126,125,0,1,0,29.775253707663683,48.51445066694436
perfect_v2v,hold,127,122,0,1,0,11.930083855427487,-73.4278129449741
perfect_v2v,hold,128,99,0,1,1,5.10339698264603,-64.96928137122697
perfect_v2v,hold,129,69,1,0,1,3.621215440187077,-134.73237275747826
perfect_v2v,hold,130,65,1,0,1,3.232256698225866,-228.675168174852
perfect_v2v,hold,131,100,0,1,1,6.4132885637991475,-62.983200353618216
perfect_v2v,hold,132,119,0,1,0,16.452350830490282,-61.36215373988925
perfect_v2v,hold,133,55,1,0,1,3.546896530448555,-208.47949386085713
perfect_v2v,hold,134,56,1,0,1,3.609208543117365,-210.48954884281915
perfect_v2v,hold,135,68,1,0,1,4.344463211962191,-133.18645897204883
perfect_v2v,hold,136,119,0,1,0,10.173437817144938,-73.36787789290103
perfect_v2v,hold,137,59,1,0,1,3.2242407018802264,-216.5367214112291
perfect_v2v,hold,138,102,0,1,0,10.762245495475876,-55.0267675564038
perfect_v2v,hold,139,108,0,1,0,15.402457495633929,-49.141300519302476
perfect_v2v,hold,140,60,1,0,1,4.30001554250623,-216.58195333457203
perfect_v2v,hold,141,97,0,1,0,19.610212187155305,-30.9258097129307
perfect_v2v,hold,142,124,0,1,1,5.292364906824348,-93.4672266301572
perfect_v2v,hold,143,108,0,1,0,17.626412484971734,-47.142479177299776
perfect_v2v,hold,144,61,1,0,1,4.468298229977095,-130.56778972672015
perfect_v2v,hold,145,101,0,1,1,5.065885930195634,16.992201778108274
perfect_v2v,hold,146,58,1,0,1,3.705303187767103,-214.5379880626047
perfect_v2v,hold,147,55,1,0,1,3.445843078284572,-208.4770167014695
perfect_v2v,hold,148,61,1,0,1,3.453485102587722,-220.5976097444701
perfect_v2v,hold,149,122,0,1,0,13.807940986899979,-67.42023964901634
perfect_v2v,hold,150,125,0,1,0,20.94154275877668,-57.48608661291813
perfect_v2v,hold,151,64,1,0,1,3.6204407390194793,-226.65685436136053
perfect_v2v,hold,152,115,0,1,0,13.766146190905884,-61.28827927043828
perfect_v2v,hold,153,91,0,1,1,7.252702327790309,-48.810668512856154
perfect_v2v,hold,154,102,0,1,0,13.311090008595285,-49.02330076116428
perfect_v2v,hold,155,112,0,1,0,18.790245876096265,-47.22136236513657
perfect_v2v,hold,156,119,0,1,0,8.705011443379908,-77.36361928864126
perfect_v2v,hold,157,114,0,1,0,19.76261634359582,-47.26086603532899
perfect_v2v,hold,158,55,1,0,1,4.129413630789599,-206.4805340824168
perfect_v2v,hold,159,95,0,1,1,5.9576077552515825,-56.88436972281417
perfect_v2v,hold,160,103,0,1,0,10.278711168379717,-57.042978585861604
perfect_v2v,hold,161,106,0,1,0,15.875061266871159,-47.10254717233505
perfect_v2v,hold,162,122,0,1,1,7.3470809786661775,-85.42423086486517
perfect_v2v,hold,163,95,0,1,0,9.229968487311691,19.114637646825567
perfect_v2v,hold,164,122,0,1,0,13.974689946216932,-67.42371880379457
perfect_v2v,hold,165,106,0,1,1,5.638414180850526,-71.10453894718637
perfect_v2v,hold,166,98,0,1,1,6.711950403885734,18.0583212897187
perfect_v2v,hold,167,120,0,1,0,16.284564995053252,-61.38395883434822
perfect_v2v,hold,168,73,1,0,1,4.458593385453566,-136.80174025705168
perfect_v2v,hold,169,105,0,1,0,13.361287034716254,-53.089420726205674
