mode,policy,episode,steps,collision,arrived,near_miss,min_distance,reward,v2v_rx_count,aoi
lossy_v2v,hold,42,67,1,0,1,4.369782151795273,-131.74562144763496,23,1.9000000000000006
lossy_v2v,hold,43,67,1,0,1,4.362551412841281,-227.32270318715263,30,2.0
lossy_v2v,hold,44,127,0,1,0,12.441570232262023,-85.34774475949763,48,0.0
lossy_v2v,hold,45,108,0,1,1,4.671400217072985,-52.98328018918369,35,0.0
lossy_v2v,hold,46,66,1,0,1,4.496401481006076,-130.1749029313453,24,2.0
lossy_v2v,hold,47,102,0,1,0,10.822964351282948,-62.87674878599444,34,0.1
lossy_v2v,hold,48,115,0,1,0,13.316628100317235,-61.119701259770906,44,0.2
lossy_v2v,hold,49,116,0,1,0,15.445910736397941,-65.13940897172752,45,0.30000000000000004
lossy_v2v,full,0,56,1,0,1,4.252967134822846,-37.11972134241372,17,1.7000000000000004
lossy_v2v,full,1,84,0,1,0,8.975322696799733,-236.61497861162616,29,0.1
lossy_v2v,full,2,85,0,1,0,14.836541287850473,147.37781771786553,28,0.0
lossy_v2v,full,3,85,0,1,0,15.591887802695389,145.65631124806407,25,0.1
lossy_v2v,full,4,83,0,1,0,13.923069795896192,159.39646669306745,24,0.1
lossy_v2v,full,5,54,1,0,1,4.191396958365843,-417.1446718315921,20,1.6000000000000003
lossy_v2v,full,6,84,0,1,1,6.983347787074492,153.38729739996717,28,0.0
lossy_v2v,full,7,56,1,0,1,3.1539839380642443,-45.12063266816475,22,1.6000000000000003
lossy_v2v,full,8,85,0,1,1,7.467645132925792,-224.3149117275907,36,0.0
lossy_v2v,full,9,84,0,1,0,12.721829047585661,149.41108635414867,26,0.1
lossy_v2v,full,10,83,0,1,0,18.461181017941897,159.39708808206217,28,0.4
lossy_v2v,full,11,85,0,1,1,6.345899713586741,99.36180556130557,30,0.0
lossy_v2v,full,12,85,0,1,0,8.94206532049428,-242.6234250224262,28,0.2
lossy_v2v,full,13,57,1,0,1,3.971575942231817,-23.086027658987845,20,1.7000000000000004
lossy_v2v,full,14,84,0,1,0,12.66539389121666,143.40882463916802,22,0.0
lossy_v2v,full,15,54,1,0,1,3.664822742836696,-417.15223730934014,20,1.7000000000000004
lossy_v2v,full,16,55,1,0,1,3.309130328649926,-51.14381838512082,18,1.7000000000000004
lossy_v2v,full,17,84,0,1,0,14.82410480940466,157.40963630806516,32,0.1
